F_Name,L_Name,SSN,Office_Loc,postcode,year_of_birth
Angela,Ford,430052016,Charlotte,36995,1944
Peter,Flynn,827757407,Charlotte,31080,1930
Rachel,Woodard,737062472,Miami,53186,1969
Brandon,Vasquez,445694122,New York,47152,1988
Ashley,Black,195399108,Charlotte,52632,1985
Nicholas,Matthews,688920035,Miami,45082,1943
Shirley,Greene,517852321,Seattle,79613,1979
Christopher,White,182325882,Charlotte,32403,1972
Charles,Young,581679248,Charlotte,60790,1988
Jared,Rodriguez,709898383,New York,74004,1940
Dawn,Douglas,196647269,Los Angeles,24729,1936
Brian,Thomas,174526552,Seattle,94576,1941
Sheila,Vasquez,856653388,Miami,78482,1972
Vincent,Bell,287764362,New York,38771,1975
Benjamin,Ford,594908463,Los Angeles,15959,1984
Sean,Jones,455046893,Charlotte,38871,2005
Gary,Cook,442070552,Seattle,88790,1965
Stephanie,Wilson,887181854,Seattle,40824,1986
Susan,Gomez,723106413,Charlotte,51192,1986
Patrick,Rivera,422934147,Los Angeles,98427,1956
Toni,Marshall,601209955,Los Angeles,19833,1974
Amy,Parker,768062849,Los Angeles,77982,1998
Dale,Elliott,711610905,Miami,12997,1931
Richard,Mullins,275784702,Seattle,82355,1939
Michael,Howard,682815226,Charlotte,44958,1953
Chase,Swanson,327365548,Seattle,82562,1939
Holly,Clark,846552965,Seattle,77029,1937
Julie,Miller,454971874,New York,37780,1972
Misty,Melton,610762357,New York,30773,1987
Timothy,Mcgrath,623605833,Charlotte,54920,1987
Malik,Bird,632322510,Seattle,25559,2005
Kristina,Harris,304162458,Los Angeles,86769,1938
Joshua,Mitchell,509461135,Miami,11305,1942
Joshua,Collier,175811771,Los Angeles,69762,1965
Calvin,Kelly,831900482,New York,18859,1968
Andrew,Lopez,274136756,Charlotte,11976,1960
Rachael,Coleman,224171190,Miami,35250,1976
Emily,Smith,611143598,Miami,93054,1994
Matthew,Young,688306560,Miami,88084,1941
Dawn,Wells,532430350,Miami,90741,1950
Matthew,Howard,614229135,Los Angeles,30263,1966
Katherine,Wallace,290010971,Charlotte,78036,2005
Jeremy,Mclean,626393973,Miami,58885,1930
Michele,Smith,775242137,Seattle,24328,1980
Maria,Miller,794303194,Los Angeles,75091,1976
Misty,Jones,656887221,Miami,89669,2005
Amber,Walker,404539000,Los Angeles,69369,1953
Billy,Gonzalez,329485944,Charlotte,39844,1989
Jeff,Barnett,633019457,Los Angeles,25943,1970
Scott,Mccullough,757728391,Seattle,36188,1956
Phillip,Nelson,898729147,Miami,57349,1980
Lisa,Chavez,627037058,New York,44637,1955
Sharon,Valencia,448376010,Charlotte,91255,1992
Richard,Friedman,151104922,New York,55632,1980
Christian,Harvey,630672866,Los Angeles,50510,1967
Amy,May,448764772,Seattle,93842,1985
Stacy,Woods,620314878,Miami,53955,1993
Joshua,Jackson,714041022,Charlotte,53443,1992
John,Jones,160755785,Los Angeles,53645,1936
Andres,Hamilton,295374823,New York,51502,1976
Laura,Anderson,387462348,New York,42273,2000
Sarah,Morris,326843782,Seattle,37931,1931
John,Brown,192321968,Charlotte,85462,1989
Tracy,Warner,634147844,New York,51551,1958
Hannah,Mcclure,731507847,Miami,69036,1941
Sandra,Reynolds,783760717,Los Angeles,12285,1954
Kenneth,Barrera,256537897,New York,58354,1953
Mark,Gray,181316031,Seattle,45197,1977
Susan,Hamilton,451166286,New York,41955,1931
John,Price,232497776,Charlotte,74741,1953
Veronica,Hudson,594492358,Seattle,14427,1973
Brenda,Nichols,893058621,Los Angeles,34758,1948
Johnny,Porter,459265408,Charlotte,74154,1946
Lucas,Baker,316386029,Seattle,93391,1956
Henry,Baker,705050491,New York,24137,1992
April,Hunt,237082613,Los Angeles,89367,1963
Bradley,Garcia,102824581,New York,65690,1983
Amy,Lee,147576238,Los Angeles,53444,1962
Shane,Gonzalez,195906883,Miami,34001,1959
Tina,Castro,709231756,Seattle,72971,2005
Michael,Knight,344460858,New York,21976,1955
Isaac,Ray,574466613,Charlotte,52566,1944
Patricia,Johnson,822958891,Seattle,92842,1958
Mark,Cortez,598108242,Seattle,44678,1991
Amanda,Watson,850753479,Miami,59887,1936
Jordan,Pope,396351064,New York,10562,1940
Joseph,Mccarthy,516492988,Los Angeles,72657,1955
Brittany,Parker,566148536,Charlotte,99737,1953
Jennifer,Davis,152086488,Miami,54362,1960
Dean,Morris,823856939,Seattle,71654,2005
Richard,Reynolds,114809421,Miami,78650,1999
Andrew,Chandler,577930096,Seattle,93768,1993
Monique,Scott,731036216,Miami,79237,1989
Tara,Rangel,122400935,Seattle,60833,1972
Deanna,Daniel,191102488,Seattle,12742,1987
Jessica,Adams,372044699,New York,21938,1978
Kelly,Duncan,407724438,Miami,28879,1932
Tiffany,Arias,274308555,New York,48009,1999
Robert,Torres,839691481,Seattle,56429,1960
Marcus,Johnson,820793338,Seattle,63824,1942
Jonathan,Gonzalez,525454504,Los Angeles,14026,2000
Jonathon,Gray,216601006,Miami,46726,1996
Gabriel,Cook,378653064,Charlotte,77343,1974
Jim,Small,171159646,Charlotte,87747,1984
David,George,839078431,Miami,74387,1931
Wendy,Wagner,622892568,New York,67860,1954
Judy,Moon,389064209,New York,63854,1940
Rose,Gardner,187049741,Los Angeles,20100,2000
Amy,Cain,505069442,Charlotte,80129,1940
Amanda,Johnson,195612560,Miami,39932,1971
Patrick,Vance,547404614,Seattle,14411,1936
Edward,Martinez,293160031,Miami,79017,1959
Janet,Hernandez,669232025,Charlotte,16754,1969
Kevin,Martin,436510667,Charlotte,18308,1967
Dwayne,Jacobs,748561919,New York,50654,1988
Thomas,Miller,506705589,Los Angeles,51574,1991
Brian,Schwartz,603191195,Miami,11549,1948
Troy,Johnson,642338905,Los Angeles,78286,2000
Ashley,Beard,353486593,New York,81797,1997
Mary,Murphy,374117576,Miami,13694,1961
Rachel,Estrada,138378908,Miami,58608,2005
Kenneth,Ryan,220133404,New York,48334,1969
Alyssa,Gilbert,842340217,Seattle,54184,1932
Richard,Mills,515760906,Miami,36258,1973
Karen,Marshall,431035941,Charlotte,76000,2003
Felicia,Velasquez,627775953,New York,33257,1943
Randy,Norris,361129521,Seattle,56869,1968
Laura,Ortega,718711148,Charlotte,24072,1942
Kim,Gonzalez,267150551,Los Angeles,38433,1960
David,Salazar,301459373,Los Angeles,71127,1940
Cynthia,Brown,650053924,Los Angeles,58301,1969
Mark,Mayo,777630128,Seattle,77278,1961
Kevin,Garrett,502617331,New York,37569,2001
Tammy,Morris,644945104,Charlotte,70514,1963
Fred,Marshall,713656830,Los Angeles,96154,1937
Erica,Long,475842643,Charlotte,86340,1985
Stephen,Mahoney,572178726,Seattle,46828,1948
Michael,Howard,648375637,Miami,42764,2002
Austin,Gray,187484440,New York,59245,1986
Whitney,Taylor,268015611,Seattle,67675,1995
Corey,Snyder,898073775,Los Angeles,43230,1966
Kelly,Carter,220067104,New York,91793,1968
Marcus,Reed,730587590,Seattle,18412,1936
Regina,Price,580119353,Charlotte,71375,1946
Dennis,Stephens,714542875,New York,44803,2005
Bill,Taylor,499400641,Miami,14496,2005
Desiree,Hardy,306222696,Charlotte,42214,1940
Catherine,Mathis,575668358,Los Angeles,49180,1969
Julia,Santana,848746381,Charlotte,39108,1942
Travis,Franklin,335350284,New York,24720,1958
Nicolas,Williams,292937275,New York,21722,1952
Lydia,Wiggins,404852696,New York,91982,1951
Robert,Massey,495732441,Los Angeles,14351,2005
Tiffany,Prince,286772571,Seattle,90632,1940
Anthony,Brown,385884863,Seattle,17016,1991
Alison,Meyers,674448596,Los Angeles,23425,1940
Adam,Everett,144641769,New York,44361,1965
Henry,Dixon,315602770,New York,59852,1989
Marissa,Moore,397111148,Miami,42243,2001
Erica,Koch,875376407,Charlotte,43067,1935
Dennis,Dixon,528382210,Charlotte,12976,1980
Randall,May,519820408,Seattle,80955,1961
Christine,Shelton,759064464,Charlotte,17288,1988
Michael,Williams,200773958,Los Angeles,98642,1991
Monique,Newton,562113544,Los Angeles,70394,1988
Justin,Miller,898750509,Miami,55108,1977
Peter,Conner,926068064,Miami,13734,2000
Tammy,Jones,600874104,Charlotte,73783,1948
Aaron,Holmes,338562631,Los Angeles,77774,1945
Stephen,Carlson,761015986,New York,23032,1982
Preston,Clark,298747607,Miami,55648,2005
Carrie,Austin,643158566,Los Angeles,13182,1968
Amanda,Chen,434629841,New York,17640,1937
Stephen,Rogers,614407483,Miami,35179,2003
Logan,Conner,753197813,Los Angeles,75739,1982
Shannon,Kerr,305613933,Charlotte,68061,1945
Ryan,Wheeler,271223964,New York,73814,1997
Ashley,Simmons,696069838,Seattle,95004,1930
Stephanie,Lopez,399385444,Los Angeles,13485,2000
Colleen,Webb,452146655,Miami,26756,1999
Ronald,Wilson,463224318,Los Angeles,21771,1959
Amy,Coleman,833256553,Miami,26487,1943
Grace,Holloway,377717176,New York,31843,1946
Charles,Murphy,799703867,Charlotte,52894,1979
Felicia,Banks,253273806,Los Angeles,33772,1943
Kathleen,Obrien,552870414,New York,18214,1962
Richard,Stone,698603456,Miami,18608,2002
John,Graham,858114973,Los Angeles,26651,1952
Richard,Henry,721154953,New York,46898,1985
Erin,Nguyen,468135972,New York,55692,2001
Steven,Patterson,240985158,Los Angeles,30977,1986
Jonathan,Henry,425908875,Charlotte,43135,1941
Morgan,Sanchez,476343576,New York,35760,1987
Jacob,Griffin,483849780,New York,14216,2003
Patrick,Gonzalez,694942242,Miami,39970,1971
Andrea,Valencia,231873800,Charlotte,18495,1968
David,Cunningham,125451062,Miami,55741,1975
Christopher,Sparks,301564346,Charlotte,18344,2002
Timothy,Miller,281675448,Charlotte,52408,1952
Maria,Huynh,275659664,Charlotte,85785,1978
Jennifer,Hooper,545338352,Seattle,10535,1955
Jeffrey,Smith,850945894,Seattle,86812,1930
Anthony,Mueller,657422888,New York,88025,1943
Amy,Scott,628556032,Los Angeles,36491,1933
Elizabeth,Jordan,306620880,Miami,20354,1966
Julie,Riley,704834519,New York,16423,1945
Sherry,Macdonald,426244962,New York,77249,1964
Amy,Lowery,602667308,Charlotte,18936,1966
Rachel,Lynch,393247428,Los Angeles,98019,1957
Samantha,Martinez,326849460,New York,69695,1993
Alec,Cook,212761282,Miami,67756,1936
Lori,Adkins,856042142,Charlotte,82991,1938
Kyle,Russell,611083033,Los Angeles,48335,1969
James,Harris,746194828,New York,86356,1997
Dale,Boyle,193410131,New York,65401,1984
Stephen,Odonnell,758029993,Los Angeles,92714,1985
John,Townsend,457447576,Los Angeles,33338,1985
Victoria,Jimenez,142148891,New York,22868,1960
Alex,Robinson,288025814,Los Angeles,13277,1951
Sandra,Williams,521212690,Miami,23695,1944
Amy,Perkins,515088178,Seattle,85924,1950
Sonia,Anderson,665033556,Los Angeles,92899,1973
Suzanne,Walker,640757556,New York,37098,1942
Charles,Miller,849640644,Charlotte,47437,1971
Leah,Patel,253058346,Miami,41369,1983
Amber,Colon,616130704,Seattle,91930,1960
Matthew,Martinez,415104781,Seattle,48620,1975
Benjamin,Gordon,219890537,Charlotte,14378,1994
Edward,Leon,383405961,Los Angeles,11494,1948
John,Caldwell,752971820,Los Angeles,31994,2001
Julie,Carter,185480409,New York,98300,1989
Megan,Bird,330464295,Charlotte,40217,1985
Jeffrey,Stewart,655871786,Charlotte,63191,1988
Stephanie,Miller,339953618,Seattle,18400,1936
Ashlee,Diaz,263901233,Charlotte,65430,1976
Mary,Zimmerman,398186920,Charlotte,59086,1951
Sarah,Roberts,125954766,Charlotte,71641,1999
Frederick,Miller,262728335,Miami,48043,1940
Sean,Andrade,461771527,Charlotte,61032,1960
Jose,Nguyen,312763402,Los Angeles,37119,1985
Donna,Sanchez,545394809,Miami,61070,1995
Adam,Strong,572291059,Charlotte,26105,1957
Gabriel,Smith,661963426,Los Angeles,97040,1950
Derek,Glenn,768315197,Miami,46335,1955
Ashlee,Clark,624035951,Los Angeles,89111,1995
Tammy,Blackwell,750893602,Miami,70025,1936
Dwayne,Matthews,511580723,Miami,71528,1957
Patricia,Spencer,670537333,New York,80911,1936
Mark,Lewis,782369509,Miami,62936,1946
Timothy,Maddox,661624006,Seattle,79878,1997
Jacqueline,Taylor,520179347,Miami,73001,1954
Gregory,Anderson,480578317,Charlotte,26294,1964
Karen,Hughes,194760948,Los Angeles,63055,1940
James,Curry,199047143,New York,50613,1982
Paige,Thompson,232767160,Seattle,99840,1937
Laura,Curtis,321088718,Los Angeles,90647,1966
Brooke,Oneill,212489463,Los Angeles,33613,1949
Diana,Guerrero,186062838,Miami,10742,1950
Shelley,Ortega,194875380,Seattle,83438,1989
Stephanie,Preston,585773547,Los Angeles,50781,1960
Kevin,Watson,608247014,Charlotte,72700,1986
David,Sanchez,341276902,Seattle,43872,2000
Noah,Edwards,255373135,Seattle,27262,1953
Angela,Nelson,541259302,Miami,48130,1996
Cassandra,Jackson,567036192,New York,11015,1951
Monique,Parker,644745988,Los Angeles,16516,1966
Michael,Gregory,400107483,Miami,45976,1988
Eric,Mitchell,737254091,Los Angeles,44895,1982
Ariana,Knox,216541773,Charlotte,53946,1984
Douglas,Prince,584173598,Miami,11307,1969
Charles,Evans,500406706,New York,38878,1968
Joseph,Vasquez,940323129,New York,37511,1936
Kimberly,Wilson,142150372,Miami,42889,1942
Crystal,Myers,242640029,New York,30312,1997
James,Glenn,750155629,Los Angeles,58214,2002
Jackie,Turner,781502578,Seattle,31765,1983
Taylor,Cross,143071648,New York,27853,1958
Samuel,Rodgers,784645594,Seattle,49694,1994
Hannah,Brown,822199594,Charlotte,21925,1936
Angela,Hernandez,628362708,Charlotte,24700,1957
Daniel,Sims,102047627,Charlotte,24866,1947
Sheila,Austin,123554974,Charlotte,59348,1988
Edward,Moss,833517687,Seattle,47196,1994
Angela,Adkins,580221289,Miami,66584,1995
Christopher,Bauer,664300178,Seattle,29899,1937
Michael,Stafford,279170473,Seattle,72879,1942
Megan,Rowe,418417850,New York,80741,1990
Sandra,Watts,678059053,Charlotte,94057,1985
Antonio,Greer,724127717,New York,16488,1946
Timothy,Perry,633895506,Los Angeles,54881,2005
Dennis,Jackson,470703614,Seattle,13902,1972
Jennifer,Mitchell,880124835,Charlotte,56347,1992
Christopher,Duran,759373649,Charlotte,64447,1938
Kayla,Sandoval,801649316,Charlotte,14449,1980
Nicole,Arnold,296619818,Charlotte,79894,1963
Evan,Reed,115945404,Miami,50197,2005
Jennifer,Myers,599905174,Miami,50139,2003
Kimberly,Soto,578059335,New York,48785,1976
April,Hill,640452679,New York,31506,1944
Craig,Clements,827523123,Charlotte,79045,1932
Kelly,Rodriguez,168873900,Los Angeles,74700,1979
Dawn,Ayala,165881188,Los Angeles,48344,1954
Janice,Bryant,464352076,Los Angeles,95090,1978
Crystal,Smith,223913439,Seattle,15793,1978
Jean,Graves,668299081,Charlotte,33541,1932
Michael,Wilson,271077506,Miami,37233,1950
Tony,Burke,529631069,Los Angeles,42985,1962
Jessica,Johnson,502924005,Miami,22527,1939
Kenneth,Johnson,489645895,New York,33551,2001
Andrew,Robertson,640584166,Los Angeles,30094,1984
Deborah,Chan,864333067,Seattle,79063,1991
Jessica,White,772691561,Miami,46541,1958
Jaime,Jimenez,839219455,Seattle,36052,1932
Cindy,Miller,386899073,Charlotte,19248,1935
Curtis,Giles,128940667,Los Angeles,69275,1959
Denise,Russell,386230449,Seattle,94058,1996
James,Hale,500414951,New York,50611,1990
Tiffany,Harrison,552134063,Miami,86459,1992
Bruce,Schmidt,787916198,Seattle,50137,1993
Melinda,Davis,477822945,New York,31202,1931
Micheal,Franco,579730011,Seattle,11745,1980
Justin,Mccormick,853476210,New York,45005,1986
Mathew,Beard,194016394,New York,82987,2001
Justin,Vang,317036661,Miami,16546,1945
Samantha,Parks,103742342,Los Angeles,89371,1966
Sara,Espinoza,325475553,Charlotte,59546,1981
Deborah,Garrett,808328895,Los Angeles,97860,1996
Dustin,Alvarez,119106313,Miami,98368,1995
Patrick,Mueller,706309693,Miami,60918,1987
Tonya,Howell,878091765,Seattle,36282,1982
Mark,Richards,749709047,Seattle,89814,1956
Trevor,Webb,470944174,Los Angeles,97676,1972
Aaron,Stanton,892016002,Los Angeles,99252,1931
Nathan,Wilson,475876036,Charlotte,97016,1973
Nicole,Smith,652556613,New York,62288,1997
Rachel,Walker,776283601,Los Angeles,48273,1976
Jennifer,Lloyd,856635923,New York,17494,1980
Andrea,Morris,441481957,New York,27741,1982
Nicole,Vasquez,708400839,New York,10316,1958
Joseph,Shaw,166299624,Seattle,91792,1947
Amanda,Torres,495028790,Los Angeles,23648,1960
Willie,Stanley,358220403,Charlotte,92671,1937
Brandon,Flores,825211967,Seattle,77410,1958
Eric,Mcdaniel,564212194,Charlotte,40481,1984
Justin,Edwards,785667145,Seattle,71660,1989
Pam,Peterson,891757820,Los Angeles,75704,2005
Alexis,Curry,337843354,Seattle,69472,1941
Robert,Ellis,583344527,Seattle,19671,1932
Ivan,Patel,687539286,Los Angeles,56541,1963
Juan,Sosa,630878520,Seattle,62431,1965
Michelle,Jordan,873533441,Los Angeles,18865,1967
Billy,Parsons,268795753,Los Angeles,69618,2003
Maria,Wade,748479469,New York,18568,1932
Blake,Myers,865371273,Miami,73490,1934
Brian,Goodman,850040390,Los Angeles,68554,1965
Tammy,Leon,321559015,New York,72033,1995
Crystal,Wu,852323845,Los Angeles,85787,1966
Austin,Williams,286758979,Seattle,55643,1969
Fernando,Montoya,663410894,Los Angeles,27781,1975
Dale,James,499097091,Charlotte,76008,1933
Shannon,Hill,742714869,New York,98233,1934
April,Davis,506601882,Charlotte,86638,1996
Brian,Turner,119819270,Los Angeles,87176,1930
Elizabeth,Jones,552527537,Miami,56404,1993
Catherine,Hayes,312297581,Miami,90885,1983
Joseph,Hart,340762760,Los Angeles,98784,1971
Kendra,Kim,769560663,Charlotte,12287,1995
Andrea,Casey,508310057,Charlotte,29737,1992
Michelle,Mcdonald,138795329,Los Angeles,97199,1998
Crystal,Moore,652169965,New York,91547,1949
Daniel,Roach,124805453,New York,26988,1983
Marcus,Robinson,523033654,New York,77965,1997
Joseph,Bryan,952085068,Miami,43135,1930
William,Espinoza,493727996,Charlotte,43572,1989
Joe,Davis,290723173,Seattle,23442,1936
Steven,Jones,483383445,New York,23801,1994
Laura,Skinner,558454324,New York,56550,1977
Jeremy,Maldonado,342840423,Miami,25892,1987
Phillip,Williams,885085758,Seattle,66014,1934
Sandra,Todd,831814224,New York,28318,1939
Lindsay,Gardner,643874413,Los Angeles,41525,1945
Alyssa,Fisher,548172116,Seattle,44521,1963
Sharon,Mercer,152480970,Los Angeles,63942,1976
Marcus,Jackson,708409007,Los Angeles,18649,1986
Blake,Flores,385691618,Charlotte,46723,1932
Samantha,Campbell,761028350,Los Angeles,49497,1970
Nathan,Miller,773634278,Miami,78300,2000
Rebecca,Cox,606403679,Miami,65465,1976
Steven,Haynes,166504157,Seattle,25185,1937
John,Rodriguez,788613512,Seattle,89185,1956
Jose,Eaton,693598501,Charlotte,33467,1936
Katelyn,Fields,260655767,New York,76668,1946
Zachary,Ewing,320511674,Seattle,51884,1970
Ryan,Malone,103590266,Seattle,50737,1962
Michael,Mullen,550663991,Los Angeles,83970,1982
Joseph,Bryant,650031913,Miami,69371,1974
Alexa,Sanchez,476641783,Seattle,61080,1952
Abigail,Williamson,280664089,Seattle,29239,1985
Amy,Ewing,471271871,Charlotte,32977,2003
Breanna,Haynes,313997189,Los Angeles,81013,1950
Rhonda,Jackson,382416597,New York,50031,1977
Joanna,Peters,734515303,Los Angeles,42175,2003
Danielle,Hammond,693994661,New York,35274,1933
Eric,Cooper,138442392,Los Angeles,60430,1998
Jacqueline,Valencia,345283035,Los Angeles,79782,1991
Thomas,Stephens,198610902,New York,69964,1969
Tony,Wilson,888164847,Los Angeles,82522,1988
Michael,Stephens,482041045,Los Angeles,24634,1990
Sabrina,Cortez,144071012,Los Angeles,47836,2004
Chelsey,Thomas,467954133,Miami,98717,1942
Brandon,Cuevas,597432455,Miami,22664,1938
Kelly,Skinner,446587351,Charlotte,29108,1959
Joshua,Elliott,562876095,New York,54724,1936
James,Kerr,221156533,Miami,10353,1959
Kristine,Page,580041232,Seattle,95108,1936
Regina,Salinas,133267556,Los Angeles,76812,1962
Samuel,Holland,863668489,New York,54934,1991
Nicholas,Burns,850958380,Charlotte,92834,1947
Leonard,Velez,420856386,New York,91237,1984
Lisa,Nguyen,159846065,Miami,69926,1976
Julia,Sanders,723772102,Miami,98221,1935
Richard,Thompson,606751881,Charlotte,65892,1980
Erika,Krause,371240164,Los Angeles,12355,1933
Tammy,White,661267888,Miami,68783,1974
William,Fischer,187714450,Miami,19835,2002
Brandy,Miranda,623643236,Miami,51578,1960
Donna,Garza,840745879,Miami,75364,1971
Burt,Jones,227211331,Charlotte,11214,1985
Mike,Ingit,309845713,Charlotte,11218,1987
Ade,Wells,123456789,Miami,10005,2000
Max,Pellington,233742922,Miami,87594,2001
Luis,Hernandez,608526268,New York,25684,2003
Brett,Met,847572446,Miami,98533,2003
